name,link
Explosion Proof,https://www.abb.com/global/en/product/motors-generators/low-voltage-motors/nema-ac-motors-portfolio/explosion-proof
General Purpose,https://www.abb.com/global/en/product/motors-generators/low-voltage-motors/nema-ac-motors-portfolio/general-purpose-motors
Severe Duty,https://www.abb.com/global/en/product/motors-generators/low-voltage-motors/nema-ac-motors-portfolio/severe-duty-motors
Washdown Duty,https://www.abb.com/global/en/product/motors-generators/low-voltage-motors/nema-ac-motors-portfolio/washdown-motors
Pump,/brands/baldor-reliance/products/ac-motors/pump
HVAC,/brands/baldor-reliance/products/ac-motors/hvac
Farm Duty,/brands/baldor-reliance/products/ac-motors/farm-duty
Definite Purpose,/brands/baldor-reliance/products/ac-motors/definite-purpose
Unit Handling,/brands/baldor-reliance/products/ac-motors/unit-handling
Variable Speed AC,/brands/baldor-reliance/products/ac-motors/variable-speed-ac
Custom AC Motors | NEMA Motors – Baldor-Reliance,/brands/baldor-reliance/products/ac-motors/custom-ac-motors
Clutches & Brakes,/brands/baldor-reliance/products/ac-motors/clutches---brakes
Brake Motors,/brands/baldor-reliance/products/ac-motors/brake-motors
Marine Duty,/brands/baldor-reliance/products/ac-motors/marine-duty
Direct Drive motors,/brands/baldor-reliance/products/ac-motors/cooling-tower-motors
ABB NEMA motors,https://new.abb.com/us/us-motion-business-area/motors-and-generators/abb-nema-motors
